iter	Passed	Remaining
721	6412	2469
722	6418	2458
723	6424	2449
724	6431	2439
725	6435	2428
726	6440	2418
727	6446	2408
728	6451	2398
729	6463	2390
730	6471	2381
731	6476	2371
732	6482	2361
733	6490	2352
734	6496	2342
735	6501	2332
736	6505	2321
737	6509	2311
738	6516	2301
739	6532	2295
740	6537	2285
741	6541	2274
742	6547	2264
743	6551	2254
744	6556	2244
745	6561	2234
746	6567	2224
747	6580	2217
748	6589	2208
749	6697	2232
750	6703	2222
751	6708	2212
752	6714	2202
753	6720	2192
754	6725	2182
755	6731	2172
756	6742	2164
757	6751	2155
758	6756	2145
759	6763	2135
760	6769	2125
761	6775	2116
762	6780	2106
763	6786	2096
764	6793	2087
765	6799	2077
766	6806	2067
767	6810	2057
768	6818	2048
769	6823	2038
770	6828	2028
771	6839	2020
772	6845	2010
773	6850	2000
774	6857	1990
775	6861	1980
776	6885	1976
777	6889	1965
778	6894	1955
779	6900	1946
780	6904	1936
781	6909	1926
782	6928	1920
783	6934	1910
784	6941	1901
785	6950	1892
786	6955	1882
787	6961	1872
788	6967	1863
789	6971	1853
790	6977	1843
791	6983	1833
792	6991	1824
793	6997	1815
794	7002	1805
795	7008	1796
796	7012	1786
797	7017	1776
798	7023	1766
799	7027	1756
800	7034	1747
801	7038	1737
802	7043	1728
803	7052	1719
804	7058	1709
805	7063	1700
806	7068	1690
807	7073	1680
808	7078	1671
809	7084	1661
810	7088	1652
811	7094	1642
812	7099	1632
813	7104	1623
814	7112	1614
815	7117	1605
816	7122	1595
817	7127	1585
818	7132	1576
819	7137	1566
820	7141	1557
821	7146	1547
822	7151	1538
823	7160	1529
824	7181	1523
825	7187	1514
826	7200	1506
827	7242	1504
828	7246	1494
829	7251	1485
830	7256	1475
831	7260	1466
832	7266	1456
833	7274	1447
834	7280	1438
835	7285	1429
836	7291	1419
837	7299	1411
838	7307	1402
839	7312	1392
840	7318	1383
841	7323	1374
842	7329	1365
843	7337	1356
844	7344	1347
845	7351	1338
846	7355	1328
847	7361	1319
848	7368	1310
849	7379	1302
850	7397	1295
851	7405	1286
852	7411	1277
853	7417	1268
854	7423	1258
855	7428	1249
856	7433	1240
857	7438	1231
858	7442	1221
859	7447	1212
860	7453	1203
861	7458	1194
862	7468	1185
863	7474	1176
864	7480	1167
865	7524	1164
866	7533	1155
867	7538	1146
868	7553	1138
869	7561	1129
870	7565	1120
871	7573	1111
872	7580	1102
873	7585	1093
874	7591	1084
875	7595	1075
876	7600	1065
877	7605	1056
878	7610	1047
879	7622	1039
880	7627	1030
881	7638	1021
882	7642	1012
883	7647	1003
884	7653	994
885	7671	987
886	7677	978
887	7686	969
888	7691	960
889	7696	951
890	7709	943
891	7715	934
892	7719	924
893	7724	915
894	7728	906
895	7735	897
896	7742	889
897	7747	879
898	7751	870
899	7761	862
900	7767	853
901	7772	844
902	7778	835
903	7784	826
904	7790	817
905	7796	808
906	7802	800
907	7810	791
908	7815	782
909	7822	773
910	7827	764
911	7832	755
912	7848	747
913	7855	739
914	7879	731
915	7885	723
916	7890	714
917	7896	705
918	7901	696
919	7907	687
920	7914	678
921	7919	669
922	7924	661
923	7929	652
924	7933	643
925	7939	634
926	7948	625
927	7954	617
928	7959	608
929	7968	599
930	7975	591
931	7981	582
932	7986	573
933	7995	564
934	8001	556
935	8006	547
